Name,S1,S2,Cluster
DC DC,0.8041614,4.4393298e-13,B
FL Alachua,0.42031276,0.3320736,B
FL Baker,0.14969665,0.74080217,A
FL Bay,0.23182759,0.62652326,A
FL Bradford,0.14913504,0.75379074,A
FL Brevard,0.24866529,0.5643676,A
FL Broward,0.6884566,0.10835147,B
FL Calhoun,0.23395094,0.66972643,A
FL Charlotte,0.19190736,0.6400069,A
FL Citrus,0.10035756,0.77268255,A
FL Clay,0.19502209,0.62111896,A
FL Collier,0.3987212,0.38450757,B
FL Columbia,0.21930318,0.6865918,A
FL Desoto,0.43164924,0.42506024,B
FL Dixie,0.1702083,0.77137375,A
FL Duval,0.4442312,0.3932887,B
FL Escambia,0.33281684,0.5002946,B
FL Flagler,0.12916942,0.67917544,A
FL Franklin,0.1743152,0.7182562,A
FL Gadsden,0.5388573,0.3556055,B
FL Gilchrist,0.120005734,0.7603367,A
FL Glades,0.30554035,0.5587384,A
FL Gulf,0.20478798,0.6776805,A
FL Hamilton,0.3704518,0.56191313,B
FL Hardee,0.40757838,0.44171032,B
FL Hendry,0.6710969,0.1977398,B
FL Hernando,0.116000414,0.740359,A
FL Highlands,0.19852978,0.6594683,A
FL Hillsborough,0.52265066,0.27271447,B
FL Holmes,0.099745914,0.82064766,A
FL Indian River,0.2153725,0.60553795,A
FL Jackson,0.3150938,0.5928211,A
FL Jefferson,0.3029378,0.5557166,A
FL Lafayette,0.40060955,0.55031943,B
FL Lake,0.21576358,0.61220753,A
FL Lee,0.3785496,0.4303365,B
FL Leon,0.43520975,0.3287827,B
FL Levy,0.10547978,0.78050476,A
FL Liberty,0.36989522,0.550812,B
FL Madison,0.36804837,0.5506805,B
FL Manatee,0.340488,0.47769487,B
FL Marion,0.21476069,0.6380849,A
FL Martin,0.2724676,0.548718,A
FL Miami-Dade,0.8163435,1.3824064e-7,B
FL Monroe,0.3804433,0.42654577,B
FL Nassau,0.092791095,0.7456527,A
FL Okaloosa,0.2133379,0.6015376,A
FL Okeechobee,0.296641,0.58731866,A
FL Orange,0.5888699,0.19976208,B
FL Osceola,0.52761585,0.26514438,B
FL Palm Beach,0.5768474,0.21904506,B
FL Pasco,0.23260821,0.6072032,A
FL Pinellas,0.40088198,0.4319472,B
FL Polk,0.3811368,0.4582177,B
FL Putnam,0.20681153,0.6881364,A
FL Santa Rosa,0.14995463,0.60058904,A
FL Sarasota,0.29134285,0.54315335,A
FL Seminole,0.23105958,0.5655828,A
FL St. Johns,0.2008741,0.58826053,A
FL St. Lucie,0.37629226,0.38902804,B
FL Sumter,0.14077397,0.65797246,A
FL Suwannee,0.3322177,0.6013576,A
FL Taylor,0.22362122,0.69516104,A
FL Union,0.22694074,0.6817383,A
FL Volusia,0.27492085,0.56131774,A
FL Wakulla,0.13693537,0.71662605,A
FL Walton,0.17309365,0.6770928,A
FL Washington,0.20884615,0.70437384,A
GA Appling,0.39756718,0.5538549,B
GA Atkinson,0.3665281,0.5460117,B
GA Bacon,0.2831897,0.6604097,A
GA Baker,0.41214508,0.4792338,B
GA Baldwin,0.4630629,0.41638815,B
GA Banks,0.114457116,0.7549417,A
GA Barrow,0.23347722,0.5946284,A
GA Bartow,0.24804322,0.60664845,A
GA Ben Hill,0.29747745,0.60731953,A
GA Berrien,0.14493966,0.7440382,A
GA Bibb,0.52508265,0.3654611,B
GA Bleckley,0.21335523,0.6713907,A
GA Brantley,0.10089109,0.78525656,A
GA Brooks,0.41550916,0.47350758,B
GA Bryan,0.23212609,0.57942885,A
GA Bulloch,0.28261113,0.54931456,A
GA Burke,0.33742908,0.5596922,B
GA Butts,0.4582108,0.45139253,B
GA Calhoun,0.66210324,0.26302528,B
GA Camden,0.1596653,0.65134054,A
GA Candler,0.31408614,0.60272044,A
GA Carroll,0.26938102,0.5972343,A
GA Catoosa,0.08551944,0.727709,A
GA Charlton,0.29307228,0.5920519,A
GA Chatham,0.44342428,0.36652288,B
GA Chattahoochee,0.5152509,0.27649736,B
GA Chattooga,0.14700413,0.7561159,A
GA Cherokee,0.21591695,0.551519,A
GA Clarke,0.51297754,0.25669476,B
GA Clay,0.5783377,0.3732848,B
GA Clayton,0.7149101,0.12283081,B
GA Clinch,0.34379157,0.5940953,B
GA Cobb,0.4700253,0.29507264,B
GA Coffee,0.363699,0.5556136,B
GA Colquitt,0.45481503,0.47099143,B
GA Columbia,0.17979953,0.5733671,A
GA Cook,0.22703539,0.6680551,A
GA Coweta,0.19016421,0.5848968,A
GA Crawford,0.11426485,0.7394431,A
GA Crisp,0.39756852,0.519302,B
GA Dade,0.086403824,0.76148844,A
GA Dawson,0.10323189,0.6996585,A
GA Decatur,0.38000324,0.5192535,B
GA DeKalb,0.73176986,0.046743587,B
GA Dodge,0.18586917,0.69980484,A
GA Dooly,0.5325491,0.3716928,B
GA Dougherty,0.86131936,0.08503065,B
GA Douglas,0.45024818,0.38089746,B
GA Early,0.79178876,0.23415129,B
GA Echols,0.37113556,0.50255513,B
GA Effingham,0.12054685,0.6992014,A
GA Elbert,0.16783914,0.7326198,A
GA Emanuel,0.29914027,0.6159363,A
GA Evans,0.31644222,0.60014886,A
GA Fannin,0.07680524,0.79980767,A
GA Fayette,0.23424345,0.51726115,A
GA Floyd,0.22138067,0.65256983,A
GA Forsyth,0.20662346,0.5194286,A
GA Franklin,0.13395606,0.78180313,A
GA Fulton,0.73086077,0.048184972,B
GA Gilmer,0.12937814,0.72623086,A
GA Glascock,0.11706249,0.7676725,A
GA Glynn,0.3078125,0.552305,B
GA Gordon,0.26123106,0.62238014,A
GA Grady,0.26559797,0.63081485,A
GA Greene,0.2978124,0.55663425,A
GA Gwinnett,0.5587116,0.20567302,B
GA Habersham,0.32182732,0.5473309,B
GA Hall,0.39067668,0.42974472,B
GA Hancock,0.94924927,0.07485824,B
GA Haralson,0.086484626,0.80267376,A
GA Harris,0.16051872,0.6187997,A
GA Hart,0.11450026,0.7563342,A
GA Heard,0.12389785,0.75193805,A
GA Henry,0.41436318,0.37355065,B
GA Houston,0.27991712,0.5457731,A
GA Irwin,0.1823603,0.7244289,A
GA Jackson,0.13572347,0.6928193,A
GA Jasper,0.13295971,0.71290636,A
GA Jeff Davis,0.29790345,0.6327396,A
GA Jefferson,0.4469384,0.47224003,B
GA Jenkins,0.5979667,0.34106913,B
GA Johnson,0.3754304,0.5335119,B
GA Jones,0.11410862,0.7078524,A
GA Lamar,0.23408219,0.6137233,A
GA Lanier,0.2567537,0.61788124,A
GA Laurens,0.25648454,0.6348132,A
GA Lee,0.34346843,0.49969786,B
GA Liberty,0.40407175,0.42748502,B
GA Lincoln,0.19968896,0.68656564,A
GA Long,0.24183376,0.59124994,A
GA Lowndes,0.33046114,0.5056902,B
GA Lumpkin,0.101716675,0.7246795,A
GA Macon,0.5108012,0.3549028,B
GA Madison,0.12185154,0.7314473,A
GA Marion,0.3835602,0.5299727,B
GA McDuffie,0.2509225,0.6130898,A
GA McIntosh,0.21884583,0.65215015,A
GA Meriwether,0.2578153,0.623328,A
GA Miller,0.17391808,0.72296137,A
GA Mitchell,0.70914257,0.24167961,B
GA Monroe,0.27468383,0.566528,A
GA Montgomery,0.1780876,0.6948614,A
GA Morgan,0.123349026,0.69611865,A
GA Murray,0.10980946,0.7779576,A
GA Muscogee,0.5408725,0.31965885,B
GA Newton,0.36696887,0.4655638,B
GA Oconee,0.18985395,0.57353705,A
GA Oglethorpe,0.22519149,0.60810375,A
GA Paulding,0.1835856,0.60133237,A
GA Peach,0.4114,0.45817018,B
GA Pickens,0.09514495,0.72484106,A
GA Pierce,0.18586884,0.70760036,A
GA Pike,0.09859077,0.70982134,A
GA Polk,0.17322335,0.7286366,A
GA Pulaski,0.2559666,0.62701374,A
GA Putnam,0.30774176,0.55028886,B
GA Quitman,0.38859928,0.56994843,B
GA Rabun,0.1348502,0.7465254,A
GA Randolph,1.0,0.059592802,B
GA Richmond,0.5251517,0.3417523,B
GA Rockdale,0.4642604,0.34097257,B
GA Schley,0.20716944,0.6591715,A
GA Screven,0.31363863,0.5928723,A
GA Seminole,0.296144,0.61012316,A
GA Spalding,0.31367585,0.57506186,A
GA Stephens,0.1871595,0.7271254,A
GA Stewart,0.6147795,0.31326413,B
GA Sumter,0.6869291,0.24972676,B
GA Talbot,0.42344874,0.46447632,B
GA Taliaferro,0.30025008,0.6245516,A
GA Tattnall,0.26526833,0.63099664,A
GA Taylor,0.28057307,0.6266898,A
GA Telfair,0.34838802,0.53264666,B
GA Terrell,0.926364,0.10487235,B
GA Thomas,0.4345308,0.4530573,B
GA Tift,0.4104222,0.4951537,B
GA Toombs,0.31848922,0.60046697,A
GA Towns,0.08781437,0.7760108,A
GA Treutlen,0.2603748,0.65310216,A
GA Troup,0.39641792,0.4907118,B
GA Turner,0.62780446,0.36476722,B
GA Twiggs,0.24887392,0.64388114,A
GA Union,0.08607723,0.76446486,A
GA Upson,0.47242978,0.4486127,B
GA Walker,0.094734855,0.7799104,A
GA Walton,0.17752782,0.64878917,A
GA Ware,0.32544956,0.59964734,A
GA Warren,0.37579945,0.5415347,B
GA Washington,0.3260635,0.56198263,B
GA Wayne,0.22389714,0.68913394,A
GA Webster,0.36985955,0.52261585,B
GA Wheeler,0.23718667,0.6463047,A
GA White,0.09781007,0.73651063,A
GA Whitfield,0.37562475,0.48373374,B
GA Wilcox,0.5465264,0.40742067,B
GA Wilkes,0.26621932,0.62745607,A
GA Wilkinson,0.40685934,0.5017506,B
GA Worth,0.3744213,0.52654135,B
HI Hawaii,0.41658425,0.33374915,B
HI Maui,0.5459204,0.18135342,B
HI Kauai,0.34715143,0.43464217,B
HI Honolulu,0.48967323,0.21302441,B
HI Kalawao,0.44934738,0.28225154,B
ID Ada,0.2309049,0.500981,A
ID Adams,5.86852e-6,0.81966436,A
ID Bannock,0.0999611,0.72055364,A
ID Bear Lake,0.00012068531,0.80859476,A
ID Benewah,0.053568285,0.80819714,A
ID Bingham,0.09283301,0.7057195,A
ID Blaine,0.44929543,0.30925184,B
ID Boise,0.007897684,0.7844379,A
ID Bonner,0.0037773955,0.78708124,A
ID Bonneville,0.11178391,0.6744839,A
ID Boundary,0.0009227799,0.81585014,A
ID Butte,2.7748812e-11,0.7977695,A
ID Camas,1.7334401e-5,0.80674547,A
ID Canyon,0.21545024,0.59082407,A
ID Caribou,0.004359492,0.81011206,A
ID Cassia,0.19344883,0.6332462,A
ID Clark,0.30306852,0.55013555,A
ID Clearwater,2.3985556e-6,0.8324457,A
ID Custer,6.7505265e-5,0.8263792,A
ID Elmore,0.10469367,0.7010947,A
ID Franklin,0.0021343178,0.7963498,A
ID Fremont,0.050608117,0.7419174,A
ID Gem,0.02551466,0.8079596,A
ID Gooding,0.18812919,0.64084107,A
ID Idaho,5.255958e-6,0.830265,A
ID Jefferson,0.047259685,0.7140861,A
ID Jerome,0.26985547,0.57009333,A
ID Kootenai,0.05854389,0.7312295,A
ID Latah,0.20111768,0.5312578,A
ID Lemhi,8.769338e-8,0.8204113,A
ID Lewis,4.8222347e-7,0.85145044,A
ID Lincoln,0.22583333,0.5839809,A
ID Madison,0.14387487,0.6031775,A
ID Minidoka,0.1841777,0.65602803,A
ID Nez Perce,0.17133918,0.64987767,A
ID Oneida,0.00030974456,0.8260714,A
ID Owyhee,0.24658315,0.59764,A
ID Payette,0.1412031,0.69685,A
ID Power,0.16500242,0.6620945,A
ID Shoshone,0.100118175,0.7669673,A
ID Teton,0.16552047,0.5584223,A
ID Twin Falls,0.18960668,0.6342415,A
ID Valley,0.019799538,0.75203574,A
ID Washington,0.16459832,0.69386584,A
IL Putnam,0.0022335534,0.8212425,A
IL Randolph,0.1632022,0.7508029,A
IL Fayette,0.06312187,0.7699888,A
IL Ford,0.0963248,0.7377706,A
IL Grundy,0.08077968,0.77832705,A
IL Lasalle,0.10585584,0.6988387,A
IL Lee,0.02620351,0.7782189,A
IL Logan,0.013904368,0.79538983,A
IL Hancock,0.08598192,0.78949374,A
IL Gallatin,0.21917781,0.6113715,A
IL Mcdonough,0.20177875,0.6214776,A
IL Perry,0.040742107,0.8032284,A
IL Scott,0.032709673,0.8509037,A
IL Macon,0.13861722,0.6815126,A
IL Dupage,0.3605666,0.4468369,B
IL Clark,0.5542263,0.35482094,B
IL Cumberland,0.05192597,0.80861914,A
IL Edgar,4.970914e-8,0.8292524,A
IL Henderson,0.11174321,0.7209115,A
IL Whiteside,0.12071419,0.6896553,A
IL Calhoun,0.045332436,0.7992016,A
IL Carroll,0.23827507,0.5348729,A
IL Douglas,0.039501462,0.8112796,A
IL Jackson,0.21544683,0.6252727,A
IL Jersey,0.04857927,0.77020174,A
IL Lawrence,0.01393001,0.837306,A
IL Sangamon,0.14113718,0.71404165,A
IL White,0.00011482315,0.892482,A
IL Hardin,0.0012689049,0.8825784,A
IL Edwards,7.284415e-11,0.8871942,A
IL Stark,2.6947625e-6,0.83277065,A
IL Richland,0.02386621,0.814094,A
IL Pope,0.00363839,0.851079,A
IL Clay,2.1139213e-8,0.81290096,A
IL Will,0.23205869,0.6143447,A
IL Kane,0.273477,0.52358854,A
IL Kendall,0.1913289,0.58699983,A
IL St. Clair,0.29400942,0.549416,A
IL Union,0.37797418,0.48590365,B
IL Alexander,0.094910316,0.75327,A
IL Hamilton,0.0008815738,0.8791525,A
IL Jasper,0.2053136,0.61977553,A
IL Lake,0.3590835,0.41548482,B
IL Rock Island,0.19126046,0.64367825,A
IL Franklin,0.19033481,0.6145688,A
IL Dewitt,0.042126402,0.82112277,A
IL Vermilion,0.13960421,0.66103274,A
IL Knox,0.10123833,0.75828785,A
IL Winnebago,0.42747006,0.36507693,B
IL Clinton,0.19635612,0.6465122,A
IL Cook,0.5672884,0.30398828,B
IL Mclean,0.15335326,0.65703154,A
IL Pulaski,0.15169433,0.7311131,A
IL Schuyler,0.0096915,0.8384128,A
IL Warren,0.190435,0.624716,A
IL Wayne,0.06649179,0.7390988,A
IL Madison,0.23447464,0.5521383,A
IL Marion,0.039941166,0.8281486,A
IL Massac,0.0018828325,0.83602244,A
IL Mercer,0.08319236,0.76227826,A
IL Monroe,0.15181655,0.7209173,A
IL Ogle,0.050398227,0.7592243,A
