Name,S1,S2
GA Wilcox,168.41197,109.36585
GA Wilkes,82.035416,168.431
GA Wilkinson,125.373604,134.68729
GA Worth,115.37783,141.34198
HI Hawaii,128.37033,89.58986
HI Maui,168.22523,48.681557
HI Kauai,106.974625,116.67305
HI Honolulu,150.89268,57.183147
HI Kalawao,138.46628,75.76611
ID Ada,71.15329,134.48068
ID Adams,0.0018083829,220.02638
ID Bannock,30.802988,193.42162
ID Bear Lake,0.03718915,217.05492
ID Benewah,16.507053,216.94818
ID Bingham,28.60647,189.4396
ID Blaine,138.45027,83.01393
ID Boise,2.4336696,210.57037
ID Bonner,1.1640035,211.27994
ID Bonneville,34.446182,181.0549
ID Boundary,0.2843544,219.0025
ID Butte,8.550789e-9,214.14903
ID Camas,0.0053415913,216.5585
ID Canyon,66.39094,158.5977
ID Caribou,1.3433764,217.4622
ID Cassia,59.611206,169.98526
ID Clark,93.39049,147.67549
ID Clearwater,0.0007391143,223.45732
ID Custer,0.02080173,221.82887
ID Elmore,32.26133,188.19817
ID Franklin,0.65768945,213.76794
ID Fremont,15.594878,199.15639
ID Gem,7.862336,216.88441
ID Gooding,57.971962,172.02399
ID Idaho,0.0016196221,222.87195
ID Jefferson,14.56306,191.6855
ID Jerome,83.15589,153.03285
ID Kootenai,18.040285,196.28738
ID Latah,61.97436,142.60805
ID Lemhi,2.7022692e-5,220.22688
ID Lewis,0.00014859704,228.55887
ID Lincoln,69.590485,156.76076
ID Madison,44.335007,161.91379
ID Minidoka,56.75431,176.10071
ID Nez Perce,52.798126,174.44974
ID Oneida,0.095447704,221.74625
ID Owyhee,75.984535,160.42732
ID Payette,43.5117,187.05873
ID Power,50.845455,177.72914
ID Shoshone,30.85139,205.88065
ID Teton,51.005093,149.89995
ID Twin Falls,58.42725,170.25244
ID Valley,6.1012225,201.8725
ID Washington,50.72093,186.25769
IL Putnam,0.68826896,220.45001
IL Randolph,50.290714,201.54156
IL Fayette,19.450989,206.69173
IL Ford,29.682463,198.04324
IL Grundy,24.892239,208.93001
IL Lasalle,32.61945,187.59258
IL Lee,8.074605,208.90099
IL Logan,4.2846274,213.51025
IL Hancock,26.495308,211.92754
IL Gallatin,67.53959,164.11334
IL Mcdonough,62.178074,166.82617
IL Perry,12.55467,215.61438
IL Scott,10.079477,228.4121
IL Macon,42.71486,182.94165
IL Dupage,111.108505,119.94653
IL Clark,170.78468,95.24626
IL Cumberland,16.000975,217.06146
IL Edgar,1.5317859e-5,222.60014
IL Henderson,34.433643,193.51768
IL Whiteside,37.198048,185.12743
IL Calhoun,13.969178,214.53346
IL Carroll,73.4244,143.57846
IL Douglas,12.172366,217.77562
IL Jackson,66.389885,167.8449
IL Jersey,14.969689,206.74889
IL Lawrence,4.292529,224.76201
IL Sangamon,43.491386,191.67357
IL White,0.035382725,239.57315
IL Hardin,0.39101273,236.91469
IL Edwards,2.2446907e-8,238.15373
IL Stark,0.0008303904,223.54456
IL Richland,7.354367,218.5311
IL Pope,1.121169,228.45915
IL Clay,6.514043e-6,218.21085
IL Will,71.50883,164.91145
IL Kane,84.271866,140.54935
IL Kendall,58.95795,157.57114
IL St. Clair,90.59893,147.48233
IL Union,116.47265,130.43341
IL Alexander,29.24659,202.20381
IL Hamilton,0.27165675,235.99506
IL Jasper,63.26733,166.36928
IL Lake,110.65149,111.53055
IL Rock Island,58.936863,172.7856
IL Franklin,58.651623,164.97162
IL Dewitt,12.98124,220.41786
IL Vermilion,43.019,177.44414
IL Knox,31.196568,203.55078
IL Winnebago,131.7248,97.99932
IL Clinton,60.507088,173.54633
IL Cook,174.80978,81.601006
IL Mclean,47.255768,176.37007
IL Pulaski,46.744568,196.25613
IL Schuyler,2.9864333,225.05911
IL Warren,58.6825,167.69547
IL Wayne,20.48943,198.39978
IL Madison,72.2533,148.2131
IL Marion,12.30786,222.30383
IL Massac,0.58019435,224.41745
IL Mercer,25.635706,204.62195
IL Monroe,46.78223,193.51923
IL Ogle,15.530201,203.80217
IL Dekalb,42.816784,183.56631
IL Cass,74.404625,172.4222
IL Champaign,66.17524,151.20078
IL Christian,14.510244,200.26057
IL Wabash,0.76765543,212.61221
IL Peoria,57.828705,177.24709
IL Washington,4.9840946,227.07019
IL Adams,17.350363,211.62645
IL Bond,27.366516,192.79263
IL Brown,46.35422,178.73407
IL Marshall,1.9351684,235.60503
IL Mchenry,46.178852,162.71819
IL Montgomery,11.969033,215.08243
IL Moultrie,0.025410159,231.66289
IL Saline,13.856597,232.13243
IL Stephenson,27.998854,193.12614
