Name,S1,S2,S3,S4
GA Chatham,11.014456,83.69886,87.57025,52.548683
GA Chattahoochee,32.786278,96.48744,54.366142,50.185307
GA Chattooga,8.109439,57.162502,2.5319026e-14,183.97025
GA Cherokee,11.660713,7.3549137,106.106995,88.47937
GA Clarke,10.212203,96.48876,99.57505,20.490303
GA Clay,62.604523,115.88652,2.5319026e-14,101.68825
GA Clayton,17.531887,163.82289,62.143074,10.819253
GA Clinch,29.116272,92.061905,2.5319026e-14,145.71916
GA Cobb,18.848177,41.037018,139.04855,24.398487
GA Coffee,29.258501,96.100945,2.5319026e-14,137.5208
GA Colquitt,26.583578,125.357765,1.0006951e-11,116.43957
GA Columbia,8.480798,12.869117,90.81445,96.27925
GA Cook,19.801596,69.59644,2.5319026e-14,161.09056
GA Coweta,8.212592,23.711142,76.862976,106.24273
GA Crawford,7.2267203,48.120655,3.9710994,174.82115
GA Crisp,34.245712,94.913635,1.0097226e-5,134.65256
GA Dade,8.4304495,23.167912,18.772882,181.38678
GA Dawson,13.145401,7.627232e-9,48.97987,157.39201
GA Decatur,25.575842,104.11231,3.4303882e-6,128.4313
GA DeKalb,13.720711,110.62132,114.183464,3.9694237e-14
GA Dodge,10.313112,75.036896,2.0511244e-11,160.86716
GA Dooly,54.884457,103.51174,5.872761e-9,107.70135
GA Dougherty,95.706894,120.10932,37.029823,38.465176
GA Douglas,14.622278,94.87839,70.079185,61.53322
GA Early,136.2039,61.0811,2.5319026e-14,113.52308
GA Echols,37.226524,83.48298,2.5319026e-14,130.92427
GA Effingham,4.462437,33.979393,37.084522,149.31128
GA Elbert,6.900131,70.96174,0.031773813,171.30756
GA Emanuel,17.924978,96.39653,2.5319026e-14,144.3238
GA Evans,8.971604,115.80431,2.5319026e-14,134.62663
GA Fannin,8.776123,10.439008,27.118021,192.52652
GA Fayette,12.354355,3.3607764,126.270195,67.43776
GA Floyd,11.687722,55.326344,35.61248,141.12743
GA Forsyth,4.04964,17.590067,122.597275,57.24976
GA Franklin,13.85985,44.805096,7.244407e-11,193.56718
GA Fulton,17.663801,91.913536,128.94702,3.9694237e-14
GA Gilmer,9.394574,33.96639,26.251818,165.78737
GA Glascock,9.048863,45.60724,2.5319026e-14,188.65222
GA Glynn,18.441984,61.04649,50.639473,113.32784
GA Gordon,19.03027,65.2201,11.018092,153.48488
GA Grady,17.69053,85.712456,0.008771889,149.02513
GA Greene,33.125908,39.874542,32.716938,136.57407
GA Gwinnett,11.46611,87.65498,121.32638,6.5306854
GA Habersham,40.02543,39.97963,15.821206,152.01744
GA Hall,22.880144,69.556274,56.02067,87.66005
GA Hancock,173.61185,72.109375,1.3321496e-6,70.49502
GA Haralson,11.425199,18.40373,5.612126,207.6354
GA Harris,22.00851,2.114419e-7,46.494095,147.35547
GA Hart,7.6849737,40.173435,14.766614,176.26106
GA Heard,16.453257,32.229874,2.5319026e-14,192.52898
GA Henry,9.856617,81.26645,83.22558,53.383545
GA Houston,12.545531,52.934402,64.52635,102.61348
GA Irwin,16.507559,62.865234,2.5319026e-14,172.32866
GA Jackson,11.595304,21.373268,37.00961,158.10583
GA Jasper,9.354831,42.052105,16.619267,164.85739
GA Jeff Davis,17.982512,92.17834,2.5319026e-14,153.11069
GA Jefferson,27.026443,127.28043,2.5319026e-14,111.78976
GA Jenkins,78.32264,91.76892,9.057095e-13,108.24331
GA Johnson,39.39451,79.51767,2.5319026e-14,141.52623
GA Jones,6.170278,28.247969,36.355415,154.39862
GA Lamar,25.04158,39.31167,23.714857,149.8015
GA Lanier,23.163055,68.641464,1.4867664e-11,154.40533
GA Laurens,14.418441,84.21539,0.0015037564,152.1074
