Name,S1,S2,S3,S4,Cluster
MS Tallahatchie,0.10952422,0.61628985,1.3036182e-16,0.404125,C
MS Tate,0.11457135,0.33287814,3.6924348e-13,0.6005564,C
MS Tippah,0.13592735,0.17307717,1.3036182e-16,0.77602756,B
MS Tishomingo,0.10983363,0.034618694,1.3036182e-16,0.92448217,B
MS Tunica,0.14038694,0.71618104,0.05999315,0.24420182,C
MS Union,0.08837849,0.19613202,1.3036182e-16,0.74727637,B
MS Walthall,0.19318537,0.33371094,1.3036182e-16,0.5898297,C
MS Warren,0.11045061,0.3917866,0.0632639,0.5347435,C
MS Washington,0.13697016,0.69057065,1.3036182e-16,0.33988985,C
MS Wayne,0.21268764,0.31851268,1.3036182e-16,0.6070779,C
MS Webster,0.2666889,0.04900139,0.00058496324,0.810671,B
MS Wilkinson,0.35083476,0.4783383,1.3036182e-16,0.40648156,C
MS Winston,0.15709764,0.37191683,1.70759e-7,0.57243145,C
MS Yalobusha,0.2214877,0.22158276,1.3036182e-16,0.6800699,B
MS Yazoo,0.08443771,0.6533348,2.2723011e-16,0.43222058,C
MO Adair,5.6807575e-17,0.13224314,0.32760054,0.5207483,A
MO Andrew,0.0090003675,8.044002e-17,0.24720368,0.6772949,B
MO Atchison,5.6807575e-17,8.044002e-17,0.15554741,0.78073806,B
MO Audrain,0.01431455,0.08554151,0.20653076,0.7004996,B
MO Barry,5.6807575e-17,0.18187045,0.109539315,0.7013747,B
MO Barton,5.6807575e-17,0.027158584,0.11801731,0.8479935,B
MO Bates,0.01768432,0.012734415,0.19164129,0.77614546,B
MO Benton,0.004602073,0.03168862,0.10508425,0.858303,B
MO Bollinger,0.0030955598,0.03509443,0.10489232,0.83090866,B
MO Boone,0.0024693408,0.13188985,0.65476584,0.21552072,D
MO Buchanan,0.04129106,0.15108421,0.29991665,0.56787354,A
MO Butler,0.0034534568,0.11222061,0.08927364,0.8400535,B
MO Caldwell,0.015218451,0.019413557,0.16751271,0.7922561,B
MO Callaway,0.005886793,0.07707739,0.27006447,0.6212798,A
MO Camden,0.015859464,0.013627959,0.27507976,0.7033455,A
MO Cape Girardeau,0.010883612,0.05408546,0.3431697,0.5854083,A
MO Carroll,9.0095695e-11,0.030296216,0.15518746,0.7985888,B
MO Carter,0.05344639,0.035196513,0.059304163,0.9035593,B
MO Cass,0.024098516,0.0002705918,0.3946794,0.5712575,A
MO Cedar,5.6807575e-17,0.00054936094,0.09689606,0.90391743,B
MO Chariton,5.6807575e-17,8.044002e-17,0.15545823,0.7945918,B
MO Christian,0.0011525415,1.1212283e-8,0.33459222,0.60894084,A
MO Clark,5.6807575e-17,6.3990356e-8,0.15721782,0.8203346,B
MO Clay,0.010825803,0.040134773,0.5483916,0.39784878,A
MO Clinton,5.6807575e-17,1.9996429e-12,0.2627028,0.71838063,B
MO Cole,0.0054656127,0.058239773,0.43267453,0.5032082,A
MO Cooper,5.6807575e-17,0.09620503,0.18371515,0.68516505,B
