Name,S1,S2,S3,S4,Cluster
AR Cleveland,0.47056426608633906,0.5929477456470502,0.03357652102193861,8.747325641977619e-17,B
AR Columbia,0.3212231072229135,0.6799917962570716,0.06312237112322194,0.10236699751767832,C
AR Conway,0.46602753469564434,0.5650620756692336,0.032138677379301935,0.05913895997925514,B
AR Craighead,0.33801226972879145,0.5560201257637822,0.014053306060978717,0.19760336867848763,B
AR Crawford,0.5040867583863313,0.5627348660197797,0.004772387209509964,0.03368849498982837,B
AR Crittenden,1.6950973146693997e-16,0.7914299942004873,0.13057814141066162,0.31492967929711324,C
AR Cross,0.3904631047067394,0.7148984237211042,0.03870249955751752,0.015881583638186036,B
AR Dallas,0.1807084607999662,0.8476828525578649,0.01059867824857527,0.14293974798851483,C
AR Desha,0.09187587418139531,0.8445985553094864,0.0487302431913085,0.18524626065548983,C
AR Drew,0.3264127483703073,0.6455541390708672,0.03376195543137765,0.11333118299394725,C
AR Faulkner,0.5092963524007804,0.3457638236950691,0.006856638113685074,0.17851902334374156,B
AR Franklin,0.5267235660383697,0.5802249708264771,0.004811782066873718,8.747325641977619e-17,B
AR Fulton,0.5301396874288891,0.5807127724910331,5.900699817974441e-17,8.747325641977619e-17,B
AR Garland,0.4646941902733629,0.5438512503014028,0.012931155891646359,0.1317307509675599,B
AR Grant,0.6258455435951256,0.46366346556711313,5.900699817974441e-17,8.747325641977619e-17,B
AR Greene,0.5268353127666751,0.5952161397310106,0.0021434592899731483,1.9716945526709138e-10,B
AR Hempstead,0.18928060314346787,0.7832745984257556,0.023800754526134484,0.15879444476577162,C
AR Hot Spring,0.4252735809526081,0.6590390211331609,0.09719929057004059,0.004785579353801515,B
AR Howard,0.223191715375621,0.7450074501942635,0.05335092658016955,0.14122981166636311,C
AR Independence,0.46417321685034607,0.589371271709914,5.900699817974441e-17,0.04103502029018781,B
AR Izard,0.5590430620261213,0.5543136297186424,0.011467957810785658,8.747325641977619e-17,B
AR Jackson,0.34078014721364397,0.7963073203577024,0.005752424922084781,0.020680480937129906,C
AR Jefferson,0.007508005918673577,0.7432471707570899,0.17310290436290962,0.30310675419255445,C
AR Johnson,0.34252485645551334,0.6140045162773028,0.015944856507161095,0.12183273333014301,B
AR Lafayette,0.3168143500646043,0.7601199568560064,0.07806606605943166,0.024937324096404204,C
AR Lawrence,0.4629500737528025,0.5872104760739089,0.12583864076388637,8.747325641977619e-17,B
AR Lee,1.6950973146693997e-16,0.7554527537316996,0.5585353174566888,0.07414948746185523,C
AR Lincoln,0.09899398147079035,0.6686377881570833,0.613501988837615,8.747325641977619e-17,C
AR Little River,0.4297689705429762,0.6510802369132893,0.0842918673715804,8.747325641977619e-17,B
AR Logan,0.4883991614260054,0.6422807363808678,5.900699817974441e-17,3.3608381839491096e-13,B
AR Lonoke,0.5709775168786361,0.4292790088894473,0.0023066421847596254,0.04779278657191335,B
AR Madison,0.509816835505637,0.5447255812325451,0.026065680359538077,0.01795471964760498,B
AR Marion,0.6006714411066139,0.5230660635436605,5.900699817974441e-17,8.747325641977619e-17,B
AR Miller,0.3063094015355153,0.706942865849536,0.019104255296743124,0.10889424499679312,C
AR Mississippi,0.02056547167351025,0.8862622878527523,0.05308849848543926,0.25106770549351065,C
AR Monroe,0.1207357767737274,0.8974073422021063,5.900699817974441e-17,0.16222618609085582,C
AR Montgomery,0.5064654337746228,0.6168762658543365,5.900699817974441e-17,8.747325641977619e-17,B
AR Nevada,0.19909736645607234,0.7740914500242656,0.190016678329076,0.06851982688521911,C
AR Newton,0.5229054342325976,0.49231164803038086,0.0930414673233027,8.747325641977619e-17,B
AR Ouachita,0.301235004134877,0.7491232152695843,0.007183860051029667,0.10494608494135318,C
AR Perry,0.5375152116917783,0.5604249291656193,5.900699817974441e-17,8.747325641977619e-17,B
AR Phillips,1.6950973146693997e-16,0.9016856579556348,0.08981793857642965,0.2534241021676117,C
AR Pike,0.4661290497148834,0.6580284296483916,0.006607187576140483,1.1569177996100494e-14,B
AR Poinsett,0.24146127779150853,0.8416637053860831,0.039768969929566626,0.07568238135948609,C
AR Polk,0.3875439690151949,0.6753669143749467,5.900699817974441e-17,0.07269622392275364,B
AR Pope,0.4681636876144284,0.5133461062937353,0.025308821090882328,0.09684531394040415,B
