GA Taliaferro,1.7349602e-10,0.96495533,B
GA Tattnall,0.22795483,0.8156434,B
GA Taylor,0.5521471,0.5552057,A
GA Telfair,0.6677415,0.46586445,A
GA Terrell,0.7855137,0.37252012,A
GA Thomas,0.798564,0.36493754,A
GA Tift,0.7989014,0.36485422,A
GA Toombs,0.7895859,0.3721818,A
GA Towns,0.46155375,0.6277831,B
GA Treutlen,2.2710218e-9,0.98335755,B
GA Troup,0.7954522,0.36615995,A
GA Turner,0.63812786,0.48382178,A
GA Twiggs,0.46563226,0.6248192,B
GA Union,0.5869573,0.52792823,A
GA Upson,0.79685783,0.36207542,A
GA Walker,0.39610475,0.6807944,B
GA Walton,0.87095964,0.30027223,A
GA Ware,0.7978554,0.36572602,A
GA Warren,0.14752227,0.8733197,B
GA Washington,0.7804398,0.37737247,A
GA Wayne,0.40363067,0.6760597,B
GA Webster,0.26989236,0.756817,B
GA Wheeler,0.52262175,0.5763201,A
GA White,0.6644419,0.46842209,A
GA Whitfield,0.7900669,0.37014124,A
GA Wilcox,0.53335667,0.57001275,A
GA Wilkes,0.5364908,0.5714101,A
GA Wilkinson,0.5386793,0.56870997,A
GA Worth,0.79317206,0.3670973,A
HI Hawaii,0.5454845,0.5605869,A
HI Maui,0.795255,0.362652,A
HI Kauai,0.40469015,0.6723131,B
HI Honolulu,0.7921048,0.36684355,A
HI Kalawao,0.4002175,0.5245096,B
ID Ada,0.787055,0.37194473,A
ID Adams,1.1752253e-7,0.99255836,B
ID Bannock,0.6637076,0.4699293,A
ID Bear Lake,0.18308333,0.8435243,B
ID Benewah,0.28400934,0.76567024,B
ID Bingham,0.39366505,0.68399763,B
ID Blaine,0.6752497,0.46111926,A
ID Boise,0.33355007,0.72121507,B
ID Bonner,0.52999544,0.5748171,A
ID Bonneville,0.5323596,0.57380295,A
ID Boundary,3.8606042e-5,0.99006796,B
ID Butte,1.7881956e-11,0.9741773,B
ID Camas,2.3452992e-10,0.9782839,B
ID Canyon,0.78493077,0.37357628,A
ID Caribou,0.0010348365,0.9974675,B
ID Cassia,0.6607603,0.47261024,A
ID Clark,3.72205e-15,0.9509683,B
ID Clearwater,1.1923006e-9,0.98419636,B
ID Custer,0.21726449,0.8223215,B
ID Elmore,0.66765064,0.46725312,A
ID Franklin,7.7893055e-5,0.9913582,B
ID Fremont,0.0010727847,0.9972323,B
ID Gem,0.23465152,0.8107111,B
ID Gooding,0.5359757,0.5709551,A
ID Idaho,0.17492412,0.8559356,B
ID Jefferson,0.0010343308,0.9959791,B
ID Jerome,0.66991866,0.46504992,A
ID Kootenai,0.53871936,0.56891847,A
ID Latah,0.39439037,0.68259835,B
ID Lemhi,0.00091022585,0.9980659,B
ID Lewis,1.0232527e-9,0.98553455,B
ID Lincoln,0.23232423,0.81187093,B
ID Madison,0.5250031,0.5641382,A
ID Minidoka,0.3953781,0.68219364,B
ID Nez Perce,0.67171496,0.46457633,A
ID Oneida,9.790028e-10,0.98252136,B
