FID,id,X,Y,OBJECTID,TNMID,HUC8,NAME,GLOBALID,gridcell,HUC8i
10,191450,-111.781250000000000,37.531250000000000,901.000000000000000,{50D2624C-5AA1-4731-AC1F-14A1D6271ABA},14070006,Lower Lake Powell,{29EB635F-7753-4359-9A72-739223E5C194},129452,14070006
11,263521,-112.031250000000000,32.843750000000000,770.000000000000000,{99AA075F-0E4E-47DC-9F7C-1EC82DDC1F7D},15050306,Santa Rosa Wash,{A74AD686-DAA6-4C54-9B7A-5611E6DD91CA},181179,15050306
12,191403,-114.718750000000000,37.531250000000000,188.000000000000000,{EDE85591-D289-4602-9188-DE7EFDF7CB48},15010013,Meadow Valley Wash,{9FB8B67F-0C18-4757-9866-5D7D02222A76},129405,15010013
13,122300,-109.156250000000000,42.031250000000000,1465.000000000000000,{1AA717C6-ED15-45A9-9766-7007C0902A4B},14040105,Bitter,{56FAA652-7D4E-4294-8F29-DD2F6283C790},72917,14040105
14,234713,-110.656250000000000,34.718750000000000,744.000000000000000,{088F98F6-B391-406C-A224-C5FE96639ABE},15020010,Chevelon Canyon,{63856F05-CDB1-424A-A589-0592DD817A77},162021,15020010
15,251052,-110.531250000000000,33.656250000000000,761.000000000000000,{1FDED284-CC93-4733-82A5-A63EE72272BC},15040007,San Carlos,{D441BB7F-DF61-47FA-B23C-82CB204B6064},173266,15040007
16,153096,-106.406250000000000,40.031250000000000,1224.000000000000000,{F615361F-882D-4DF0-936C-E72D12109041},14010002,Blue,{C4E43483-56D9-4E3B-84ED-C552B019A644},98929,14010002
17,151143,-108.343750000000000,40.156250000000000,1237.000000000000000,{34283B3E-CC23-4B6D-8ECA-611BD82356FF},14050005,Upper White,{B0FA17F3-53F6-4641-8379-A8EA5181BB70},97294,14050005
18,264455,-113.718750000000000,32.781250000000000,785.000000000000000,{B6FDB9D0-C85F-4D4C-B587-35E5EBF224C7},15070203,San Cristobal Wash,{677CEE66-9FBA-40E2-8BB7-5589A05B91F0},181752,15070203
19,235649,-112.218750000000000,34.656250000000000,780.000000000000000,{6F590258-43AF-4D23-860D-420434617396},15070102,Aqua Fria,{7BBEB9CB-2024-43B8-9178-2BD1ED033D4B},162692,15070102
20,234653,-114.406250000000000,34.718750000000000,753.000000000000000,{197529A4-D93B-4D9C-9943-3B815DF873ED},15030103,Sacramento Wash,{3EA1B585-BE1E-49A4-95F2-2BF7DA7ADB2F},161961,15030103
21,233765,-109.843750000000000,34.781250000000000,739.000000000000000,{1680E028-AB9B-4235-83C1-F448188260B7},15020002,Upper Little Colorado,{F699E677-5802-4B54-BA13-AE171089EDE0},161328,15020002
22,249109,-111.843750000000000,33.781250000000000,776.000000000000000,{BAC2DEA1-E318-423B-8444-E4C9B421AC5E},15060106,Lower Salt,{E9EBB01A-3FDE-48E8-AC27-628C04D31775},171998,15060106
23,225123,-109.406250000000000,35.343750000000000,741.000000000000000,{A5EB5183-0974-4FE2-8E19-9567A7C18416},15020007,Lower Puerco,{3B10AB03-A03F-40C7-AFEB-15CD4D25AD20},154997,15020007
24,191478,-110.031250000000000,37.531250000000000,904.000000000000000,{E31EA49A-31DD-474B-BEEF-86486DDD9F1A},14080205,Lower San Juan,{BB2B5433-8EF7-4C20-947C-4230ACDA0CE0},129480,14080205
25,241374,-114.781250000000000,34.281250000000000,1106.000000000000000,{822120FA-0A87-4743-A2F5-38B0A1B8E6A1},15030104,Imperial Reservoir,{6E58DD09-DB3E-4EBD-A3A6-91305B7B6D63},166737,15030104
26,171310,-109.218750000000000,38.843750000000000,1251.000000000000000,{66E25712-723E-4BC8-8802-7FA041E39D34},14030004,Lower Dolores,{36F26463-F7DC-41B6-B2D0-35AD892F969B},113774,14030004
27,285650,-110.406250000000000,31.406250000000000,788.000000000000000,{21A6AE9C-8C85-4578-AE5A-368093D0E9E5},15050202,Upper San Pedro,{D260CF32-F451-43CF-B63B-37F56EEC9A02},193188,15050202
28,214561,-108.843750000000000,36.031250000000000,895.000000000000000,{632550B8-E9F8-45AF-AB7D-AF10E5BAA921},15020006,Upper Puerco,{146553E1-902E-4170-90E1-2C673F344BF7},147069,15020006
29,191443,-112.218750000000000,37.531250000000000,902.000000000000000,{EEAAE222-A384-4065-A138-39633E91FEA4},14070007,Paria,{123706D1-65CC-424F-91EA-81073B8AB5A3},129445,14070007
30,131925,-108.218750000000000,41.406250000000000,1352.000000000000000,{CA1A0B41-1B4B-4E92-87E0-D8057E20261E},14050003,Little Snake,{70C89B6D-F012-4279-8263-F9AE2AAAD852},81035,14050003
